?Codigo;Descricao;Unidade
164621;BATERIA SELADA VRLA 12V 24AH/10H GSCB001;PEÇ
164638;SUCATA  METAIS NAO FERROSOS   ALUMI(SUC);KG
164648;PROTEÇÃO DO RGDM   DV7070;UN
164671;CONTROLE RELIGADOR 127/220V REC;UN
164674;PAINEL DE SERVIÇO AUXILIAR   SUCATA;PEÇ
164676;GRAMPO LINHA VIVA 4/0AWG/ 185MM2 TIPO 4;UN
164678;CP POT DERIV 200KVAR 7960V ETA161 SUCATA;PEÇ
164681;CHAVE A OLEO SUCATA;PEÇ
164682;CB AL NU 4AWG CA  SUCATA;KG
164683;CB AL NU CAA 2AWG SUCATA;KG
164684;COND CU NU 6MM² 1 FIO PM 1846 I1  SUCATA;KG
164685;CB ELÉTR;MULT AL 35MM² FP SUCATA
164689;BANCO CAPAC 13 8KV MAN 1X4 8MVAR sucata;UN
164692;CAPACITOR POT;DERIV
164706;CAIXA DERIVAÇÃO 160A   GSCC019/1;PEÇ
164715;FITA ISOL ADE BRAN 19MMX20M PM BR220.01;PEÇ
164943;CRUZETA POLIM 2400MM RETANG D315.01;UN
165015;UP TELECONTROL PARA INSTALACION EXTERIOR;CDA
165017;UNIDAD PERIFERICA TELECONTROL;PEÇ
165076;SACOLA PARA MANGA DE BORRACHA EQS;PEÇ
165093;BATERIA ESTACION CHUMBO ACIDO 7A/H;
165146;CONVERSOR INTERF RS232/P OTIC/ETHE 220V;
165147;DISPLAY MED ENERG ION/ABNT LCD 32 CARACT;UN
165191;CAIXA ATERRAMENTO DED 1855;
165206;CARREGADOR BATERIAS AUTO 12VCC 12A 32 AH;UN
165239;DISPOSIT.ANCOR. ABER.LONG. ET HS 128;CJT
165253;CAP 200KVA 7960V 25KA ET002 A RECUPERAR;PEÇ
166251;CAPACITOR  DIVERSOS TIPOS E CAPAC INSERV;PEÇ
166481;BATERIA NI MH  9V ALCALINA;UN
166500;TTR MEDIDOR DE RELAÇÃO DE TRANSFORMAÇ;
166508;MALETA INSPEC MTC 26 ENSAIOS 127V;
166509;CJT 3 ELEM.TRANSF.MED.MT 15 20/5A SUCATA;CJT
166511;CB ELÉTR AL NU CAA4/0 FP SUBST.P/ SUCATA;KG
166553;CJT 3 ELEM.TRANSF.MED.MT 15A A RECUPERAR;UN
166560;RETIFICADOR CHAV AJUST 380V 220VCC 10KVA;UN
166567;BATERIA ESTACIONARIA VLRA 12V 1 3AH/20HS;PEÇ
170041;ELO FUS 5A H GSCM012/64;CDA
170042;ELO FUS 3A H GSCM012/63;CDA
170043;ELO FUS 2A H GSCM012/62;CDA
170044;ELO FUS 1A H GSCM012/61;CDA
170064;ELO FUS 25A K GSCM012/29;CDA
170066;ELO FUS 16A K GSCM012/27;CDA
170067;ELO FUS 12 5A K GSCM012/26;CDA
170068;ELO FUS 10A K GSCM012/25;CDA
170069;ELO FUS 8A K GSCM012/24;CDA
170074;CH FUS 24KV E LINEAR 8kA GSCM012/2;CDA
170075;CH FUS 24KV D LINEAR 8kA GSCM012/1;CDA
170973;PARA RAIOS 34 5KV 10KA ZnO SE GSCH05/300;PEÇ
170974;PARA RAIOS 69KV 10KA ZnO SE GSCH05/301;PEÇ
170977;PARA RAIOS 13 8KV 10KA ZnO SE GSCH05/302;PEÇ
170979;PARA RAIOS 15KV 10KA AGRE DESPADRONIZADO;PEÇ
170982;PARA RAIOS  DIVERSOS TIPOS INSERVIVEL NO;KG
171060;RELIGADOR 1F 27KV  200A OP.3F NTE044/01;UN
171089;ELO FUS DISTRIB 15 36KV 1A H D138 01;UN
171090;ELO FUS;BOT
171091;ELO FUS;BOT
171093;ELO FUS DISTRIB 15/36KV 6A K D138.01;UN
171094;ELO FUS DISTRIB 15/36KV 8A K D138.01;UN
171096;ELO FUS DISTRIB 15/36KV 12A K D138.01;UN
171097;ELO FUS BOT 15KV 15A K D13801.4;UN
171099;ELO FUS BOT 15KV 25A K D13801.6;UN
171110;ELO FUSÍVEL TIPO 1H PM 0094 I2 R6;PEÇ
171111;ELO FUS DISTRIB 15/36KV 2A H;D138.01
